"mesh","umls"
"proto-oncogene proteins c-maf","Biologically Active Substance"
"proto-oncogene proteins c-met","Amino Acid, Peptide, or Protein"
"proto-oncogene proteins c-met","Enzyme"
"proto-oncogene proteins c-met","Receptor"
"proto-oncogene proteins c-sis","Amino Acid, Peptide, or Protein"
"proto-oncogene proteins c-sis","Biologically Active Substance"
"proton pump inhibitors","Pharmacologic Substance"
"proton pumps","Amino Acid, Peptide, or Protein"
"proton pumps","Enzyme"
"proton-translocating atpases","Amino Acid, Peptide, or Protein"
"proton-translocating atpases","Enzyme"
"protozoan infections","Disease or Syndrome"
"prunus","Plant"
"pruritus","Sign or Symptom"
"pseudallescheria","Fungus"
"pseudolymphoma","Neoplastic Process"
"pseudomonas","Bacterium"
"pseudomonas aeruginosa","Bacterium"
"pseudomonas infections","Disease or Syndrome"
"pseudotumor cerebri","Disease or Syndrome"
"psittacosis","Disease or Syndrome"
"psoriasis","Disease or Syndrome"
"psychiatric status rating scales","Diagnostic Procedure"
"psychiatric status rating scales","Intellectual Product"
"psychiatry","Biomedical Occupation or Discipline"
"psychoanalysis","Biomedical Occupation or Discipline"
"psychoanalytic interpretation","Health Care Activity"
"psychoanalytic theory","Intellectual Product"
"psychoanalytic therapy","Therapeutic or Preventive Procedure"
"psychodrama","Therapeutic or Preventive Procedure"
"psychological tests","Diagnostic Procedure"
"psychology","Biomedical Occupation or Discipline"
"psychometrics","Diagnostic Procedure"
"psychomotor agitation","Sign or Symptom"
"psychomotor performance","Mental Process"
"psychoneuroimmunology","Biomedical Occupation or Discipline"
"psychopathology","Biomedical Occupation or Discipline"
"psychophysics","Biomedical Occupation or Discipline"
"psychophysiologic disorders","Mental or Behavioral Dysfunction"
"psychophysiology","Biomedical Occupation or Discipline"
"psychoses, alcoholic","Mental or Behavioral Dysfunction"
"psychoses, substance-induced","Mental or Behavioral Dysfunction"
"psychosexual development","Finding"
"psychosocial deprivation","Social Behavior"
"psychosomatic medicine","Biomedical Occupation or Discipline"
"psychotherapy","Therapeutic or Preventive Procedure"
"psychotherapy, group","Therapeutic or Preventive Procedure"
"psychotic disorders","Mental or Behavioral Dysfunction"
"psychotropic drugs","Pharmacologic Substance"
"psyllium","Biologically Active Substance"
"psyllium","Organic Chemical"
"psyllium","Pharmacologic Substance"
"puberty","Physiologic Function"
"public health","Biomedical Occupation or Discipline"
"public health administration","Health Care Activity"
"public health nursing","Biomedical Occupation or Discipline"
"public health practice","Health Care Activity"
"public opinion","Qualitative Concept"
"public policy","Governmental or Regulatory Activity"
"public sector","Population Group"
"publication bias","Qualitative Concept"
"pubmed","Intellectual Product"
"puerperal disorders","Disease or Syndrome"
"puerperal infection","Disease or Syndrome"
"puerto rico","Geographic Area"
"pulmonary alveolar proteinosis","Disease or Syndrome"
"pulmonary alveoli","Body Part, Organ, or Organ Component"
"pulmonary artery","Body Part, Organ, or Organ Component"
"pulmonary aspergillosis","Disease or Syndrome"
"pulmonary atelectasis","Pathologic Function"
"pulmonary circulation","Organ or Tissue Function"
"pulmonary diffusing capacity","Finding"
"pulmonary disease, chronic obstructive","Disease or Syndrome"
"pulmonary edema","Disease or Syndrome"
"pulmonary embolism","Disease or Syndrome"
"pulmonary emphysema","Disease or Syndrome"
"pulmonary eosinophilia","Disease or Syndrome"
"pulmonary fibrosis","Disease or Syndrome"
"pulmonary gas exchange","Organ or Tissue Function"
"pulmonary heart disease","Disease or Syndrome"
"pulmonary medicine","Biomedical Occupation or Discipline"
"pulmonary surfactant-associated protein a","Amino Acid, Peptide, or Protein"
"pulmonary surfactant-associated protein a","Biologically Active Substance"
"pulmonary surfactant-associated protein b","Amino Acid, Peptide, or Protein"
"pulmonary surfactant-associated protein b","Biologically Active Substance"
"pulmonary surfactant-associated protein d","Amino Acid, Peptide, or Protein"
"pulmonary surfactant-associated protein d","Biologically Active Substance"
"pulmonary surfactant-associated proteins","Amino Acid, Peptide, or Protein"
"pulmonary surfactant-associated proteins","Biologically Active Substance"
"pulmonary surfactants","Biologically Active Substance"
"pulmonary surfactants","Organic Chemical"
"pulmonary surfactants","Pharmacologic Substance"
"pulmonary surgical procedures","Therapeutic or Preventive Procedure"
"pulmonary valve insufficiency","Pathologic Function"
"pulmonary veins","Body Part, Organ, or Organ Component"
"pulmonary ventilation","Finding"
"pulmonary wedge pressure","Clinical Attribute"
"pulse","Health Care Activity"
"pulse therapy, drug","Temporal Concept"
"punctures","Injury or Poisoning"
"punishment","Idea or Concept"
"pupa","Eukaryote"
"pupil","Animal"
"purine-nucleoside phosphorylase","Amino Acid, Peptide, or Protein"
"purine-nucleoside phosphorylase","Enzyme"
"purinergic p1 receptor agonists","Pharmacologic Substance"
"purinergic p2y receptor antagonists","Pharmacologic Substance"
"purines","Organic Chemical"
"purpura","Disease or Syndrome"
"purpura, thrombocytopenic","Disease or Syndrome"
"putrescine","Biologically Active Substance"
"putrescine","Organic Chemical"
"puva therapy","Therapeutic or Preventive Procedure"
"pyelonephritis","Disease or Syndrome"
"pyloric antrum","Body Part, Organ, or Organ Component"
"pyloric stenosis","Pathologic Function"
"pylorus","Body Part, Organ, or Organ Component"
"pyrans","Organic Chemical"
"pyrazines","Organic Chemical"
"pyrazoles","Organic Chemical"
"pyrazoles","Pharmacologic Substance"
"pyrazolones","Organic Chemical"
"pyrethrins","Hazardous or Poisonous Substance"
"pyrethrins","Organic Chemical"
"pyridazines","Organic Chemical"
"pyridines","Organic Chemical"
"pyridinium compounds","Organic Chemical"
"pyridones","Organic Chemical"
"pyridostigmine bromide","Organic Chemical"
"pyridostigmine bromide","Pharmacologic Substance"
"pyridoxal kinase","Amino Acid, Peptide, or Protein"
"pyridoxal kinase","Enzyme"
"pyridoxal phosphate","Organic Chemical"
"pyridoxal phosphate","Pharmacologic Substance"
"pyridoxal phosphate","Vitamin"
"pyridoxine","Organic Chemical"
"pyridoxine","Pharmacologic Substance"
"pyridoxine","Vitamin"
"pyrilamine","Organic Chemical"
"pyrilamine","Pharmacologic Substance"
"pyrimidines","Biologically Active Substance"
"pyrimidines","Nucleic Acid, Nucleoside, or Nucleotide"
"pyrimidinones","Organic Chemical"
"pyrogallol","Indicator, Reagent, or Diagnostic Aid"
"pyrogallol","Organic Chemical"
"pyrogallol","Pharmacologic Substance"
"pyrogens","Biologically Active Substance"
"pyrogens","Organic Chemical"
"pyroglyphidae","Eukaryote"
"pyrophosphatases","Amino Acid, Peptide, or Protein"
"pyrophosphatases","Enzyme"
"pyrroles","Organic Chemical"
"pyrrolidines","Organic Chemical"
"pyrrolidinones","Organic Chemical"
"pyruvates","Organic Chemical"
"pyruvic acid","Biologically Active Substance"
"pyruvic acid","Organic Chemical"
"pyruvic acid","Pharmacologic Substance"
"q fever","Disease or Syndrome"
"qatar","Geographic Area"
"qi","Idea or Concept"
"quadriplegia","Disease or Syndrome"
"qualitative research","Research Activity"
"quality assurance, health care","Qualitative Concept"
"quality control","Functional Concept"
"quality improvement","Occupational Activity"
"quality indicators, health care","Qualitative Concept"
"quality of health care","Health Care Activity"
"quality of life","Idea or Concept"
"quality-adjusted life years","Temporal Concept"
"quantitative trait loci","Gene or Genome"
"quantitative trait, heritable","Organism Attribute"
"quartz","Inorganic Chemical"
"quaternary ammonium compounds","Organic Chemical"
"quebec","Geographic Area"
"queensland","Geographic Area"
"quercetin","Organic Chemical"
"quercetin","Pharmacologic Substance"
"quercetin","Vitamin"
"quercus","Plant"
"quinazolines","Organic Chemical"
"quinidine","Organic Chemical"
"quinidine","Pharmacologic Substance"
"quinine","Organic Chemical"
"quinine","Pharmacologic Substance"
"quinolines","Organic Chemical"
"quinolinic acid","Biologically Active Substance"
"quinolinic acid","Organic Chemical"
"quinolizines","Organic Chemical"
"quinolones","Organic Chemical"
"quinones","Organic Chemical"
"quinuclidines","Organic Chemical"
"rabbits","Mammal"
"rabeprazole","Organic Chemical"
"rabeprazole","Pharmacologic Substance"
"raccoons","Mammal"
"racepinephrine","Organic Chemical"
"racepinephrine","Pharmacologic Substance"
"radial artery","Body Part, Organ, or Organ Component"
"radiation","Natural Phenomenon or Process"
"radiation dosage","Quantitative Concept"
"radiation injuries","Injury or Poisoning"
"radioactive tracers","Element, Ion, or Isotope"
"radioactive tracers","Indicator, Reagent, or Diagnostic Aid"
"radioallergosorbent test","Laboratory Procedure"
"radiographic image enhancement","Diagnostic Procedure"
"radiographic image interpretation, computer-assisted","Diagnostic Procedure"
"radiographic image interpretation, computer-assisted","Research Activity"
"radiography","Functional Concept"
"radiography, abdominal","Diagnostic Procedure"
"radiography, dual-energy scanned projection","Diagnostic Procedure"
"radiography, panoramic","Diagnostic Procedure"
"radiography, thoracic","Diagnostic Procedure"
"radioimmunoassay","Laboratory Procedure"
"radioimmunodetection","Diagnostic Procedure"
"radioimmunosorbent test","Laboratory Procedure"
"radioisotope dilution technique","Laboratory Procedure"
"radioisotopes","Element, Ion, or Isotope"
"radioligand assay","Laboratory Procedure"
"radiology","Biomedical Occupation or Discipline"
"radiology department, hospital","Health Care Related Organization"
"radiometry","Laboratory Procedure"
"radionuclide imaging","Diagnostic Procedure"
"radiopharmaceuticals","Indicator, Reagent, or Diagnostic Aid"
"radiopharmaceuticals","Pharmacologic Substance"
"radiotherapy","Intellectual Product"
"radiotherapy dosage","Quantitative Concept"
"radius","Body Part, Organ, or Organ Component"
"radon","Element, Ion, or Isotope"
"radon","Hazardous or Poisonous Substance"
"rage","Mental Process"
"railroads","Manufactured Object"
"ramipril","Organic Chemical"
"ramipril","Pharmacologic Substance"
"random allocation","Research Activity"
"randomized controlled trials as topic","Intellectual Product"
"randomized controlled trials as topic","Research Activity"
"range of motion, articular","Clinical Attribute"
"ranitidine","Organic Chemical"
"ranitidine","Pharmacologic Substance"
"rare diseases","Disease or Syndrome"
"rats","Mammal"
"rats, inbred strains","Mammal"
"rats, sprague-dawley","Mammal"
"rats, wistar","Mammal"
"raynaud disease","Disease or Syndrome"
"reaction time","Temporal Concept"
"reactive nitrogen species","Biologically Active Substance"
"reactive nitrogen species","Chemical Viewed Structurally"
"reactive oxygen species","Biologically Active Substance"
"reactive oxygen species","Element, Ion, or Isotope"
"reading","Daily or Recreational Activity"
"reagent kits, diagnostic","Indicator, Reagent, or Diagnostic Aid"
"reagins","Amino Acid, Peptide, or Protein"
"reagins","Immunologic Factor"
"real-time polymerase chain reaction","Molecular Biology Research Technique"
"receptor aggregation","Molecular Function"
"receptor protein-tyrosine kinases","Amino Acid, Peptide, or Protein"
"receptor protein-tyrosine kinases","Enzyme"
"receptor protein-tyrosine kinases","Receptor"
"receptor-cd3 complex, antigen, t-cell","Amino Acid, Peptide, or Protein"
"receptor-cd3 complex, antigen, t-cell","Immunologic Factor"
"receptor-cd3 complex, antigen, t-cell","Receptor"
"receptor, adenosine a1","Amino Acid, Peptide, or Protein"
"receptor, adenosine a1","Receptor"
"receptor, adenosine a2a","Amino Acid, Peptide, or Protein"
"receptor, adenosine a2a","Receptor"
"receptor, adenosine a2b","Amino Acid, Peptide, or Protein"
"receptor, adenosine a2b","Receptor"
"receptor, adenosine a3","Amino Acid, Peptide, or Protein"
"receptor, adenosine a3","Receptor"
"receptor, anaphylatoxin c5a","Amino Acid, Peptide, or Protein"
"receptor, anaphylatoxin c5a","Immunologic Factor"
"receptor, anaphylatoxin c5a","Receptor"
"receptor, angiotensin, type 1","Amino Acid, Peptide, or Protein"
"receptor, angiotensin, type 1","Receptor"
"receptor, angiotensin, type 2","Amino Acid, Peptide, or Protein"
"receptor, angiotensin, type 2","Receptor"
"receptor, bradykinin b1","Amino Acid, Peptide, or Protein"
"receptor, bradykinin b1","Receptor"
"receptor, bradykinin b2","Amino Acid, Peptide, or Protein"
"receptor, bradykinin b2","Receptor"
"receptor, cannabinoid, cb2","Amino Acid, Peptide, or Protein"
"receptor, cannabinoid, cb2","Receptor"
"receptor, endothelin a","Amino Acid, Peptide, or Protein"
"receptor, endothelin a","Receptor"
"receptor, endothelin b","Amino Acid, Peptide, or Protein"
"receptor, endothelin b","Receptor"
"receptor, epidermal growth factor","Amino Acid, Peptide, or Protein"
"receptor, epidermal growth factor","Enzyme"
"receptor, epidermal growth factor","Receptor"
"receptor, erbb-2","Amino Acid, Peptide, or Protein"
"receptor, erbb-2","Enzyme"
"receptor, erbb-2","Receptor"
"receptor, erbb-3","Amino Acid, Peptide, or Protein"
"receptor, erbb-3","Receptor"
"receptor, muscarinic m2","Amino Acid, Peptide, or Protein"
"receptor, muscarinic m2","Receptor"
"receptor, muscarinic m3","Amino Acid, Peptide, or Protein"
"receptor, muscarinic m3","Receptor"
"receptor, nerve growth factor","Amino Acid, Peptide, or Protein"
"receptor, nerve growth factor","Receptor"
"receptor, par-1","Amino Acid, Peptide, or Protein"
"receptor, par-1","Receptor"
"receptor, par-2","Amino Acid, Peptide, or Protein"
"receptor, par-2","Receptor"
"receptor, platelet-derived growth factor alpha","Amino Acid, Peptide, or Protein"
"receptor, platelet-derived growth factor alpha","Enzyme"
"receptor, platelet-derived growth factor alpha","Receptor"
"receptor, serotonin, 5-ht2a","Amino Acid, Peptide, or Protein"
"receptor, serotonin, 5-ht2a","Receptor"
"receptor, trka","Amino Acid, Peptide, or Protein"
"receptor, trka","Enzyme"
"receptor, trka","Receptor"
"receptor, trkb","Amino Acid, Peptide, or Protein"
"receptor, trkb","Enzyme"
"receptor, trkb","Receptor"
"receptor, trkc","Amino Acid, Peptide, or Protein"
"receptor, trkc","Enzyme"
"receptor, trkc","Receptor"
"receptors, adrenergic","Amino Acid, Peptide, or Protein"
"receptors, adrenergic","Receptor"
"receptors, adrenergic, alpha","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, alpha","Receptor"
"receptors, adrenergic, alpha-2","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, alpha-2","Receptor"
"receptors, adrenergic, beta","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, beta","Receptor"
"receptors, adrenergic, beta-1","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, beta-1","Receptor"
"receptors, adrenergic, beta-2","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, beta-2","Receptor"
"receptors, antigen, b-cell","Amino Acid, Peptide, or Protein"
"receptors, antigen, b-cell","Immunologic Factor"
"receptors, antigen, b-cell","Receptor"
"receptors, antigen, t-cell","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell","Immunologic Factor"
"receptors, antigen, t-cell","Receptor"
"receptors, antigen, t-cell, alpha-beta","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell, alpha-beta","Immunologic Factor"
"receptors, antigen, t-cell, alpha-beta","Receptor"
"receptors, antigen, t-cell, gamma-delta","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell, gamma-delta","Immunologic Factor"
"receptors, antigen, t-cell, gamma-delta","Receptor"
"receptors, aryl hydrocarbon","Amino Acid, Peptide, or Protein"
"receptors, aryl hydrocarbon","Receptor"
"receptors, bradykinin","Amino Acid, Peptide, or Protein"
"receptors, bradykinin","Receptor"
"receptors, calcitriol","Amino Acid, Peptide, or Protein"
"receptors, calcitriol","Receptor"
"receptors, ccr","Amino Acid, Peptide, or Protein"
"receptors, ccr","Immunologic Factor"
"receptors, ccr","Receptor"
"receptors, ccr2","Amino Acid, Peptide, or Protein"
"receptors, ccr2","Receptor"
"receptors, ccr3","Amino Acid, Peptide, or Protein"
"receptors, ccr3","Receptor"
"receptors, ccr4","Amino Acid, Peptide, or Protein"
"receptors, ccr4","Receptor"
"receptors, ccr5","Amino Acid, Peptide, or Protein"
"receptors, ccr5","Immunologic Factor"
"receptors, ccr5","Receptor"
"receptors, ccr6","Amino Acid, Peptide, or Protein"
"receptors, ccr6","Receptor"
"receptors, ccr7","Amino Acid, Peptide, or Protein"
"receptors, ccr7","Receptor"
"receptors, ccr8","Amino Acid, Peptide, or Protein"
"receptors, ccr8","Receptor"
"receptors, cell surface","Amino Acid, Peptide, or Protein"
"receptors, cell surface","Receptor"
"receptors, chemokine","Amino Acid, Peptide, or Protein"
"receptors, chemokine","Immunologic Factor"
"receptors, chemokine","Receptor"
"receptors, cholinergic","Amino Acid, Peptide, or Protein"
"receptors, cholinergic","Receptor"
"receptors, collagen","Amino Acid, Peptide, or Protein"
"receptors, collagen","Receptor"
"receptors, complement","Amino Acid, Peptide, or Protein"
"receptors, complement","Immunologic Factor"
"receptors, complement","Receptor"
"receptors, complement 3d","Amino Acid, Peptide, or Protein"
"receptors, complement 3d","Immunologic Factor"
"receptors, complement 3d","Receptor"
"receptors, corticotropin-releasing hormone","Amino Acid, Peptide, or Protein"
"receptors, corticotropin-releasing hormone","Receptor"
"receptors, cxcr3","Amino Acid, Peptide, or Protein"
"receptors, cxcr3","Receptor"
"receptors, cxcr4","Amino Acid, Peptide, or Protein"
"receptors, cxcr4","Immunologic Factor"
"receptors, cxcr4","Receptor"
"receptors, cxcr5","Amino Acid, Peptide, or Protein"
"receptors, cxcr5","Receptor"
"receptors, cytoadhesin","Amino Acid, Peptide, or Protein"
"receptors, cytoadhesin","Immunologic Factor"
"receptors, cytoadhesin","Receptor"
"receptors, cytokine","Amino Acid, Peptide, or Protein"
"receptors, cytokine","Immunologic Factor"
"receptors, cytokine","Receptor"
"receptors, cytoplasmic and nuclear","Amino Acid, Peptide, or Protein"
"receptors, cytoplasmic and nuclear","Receptor"
"receptors, dopamine","Amino Acid, Peptide, or Protein"
"receptors, dopamine","Receptor"
"receptors, drug","Amino Acid, Peptide, or Protein"
"receptors, drug","Receptor"
"receptors, endothelin","Amino Acid, Peptide, or Protein"
"receptors, endothelin","Receptor"
"receptors, fc","Amino Acid, Peptide, or Protein"
"receptors, fc","Immunologic Factor"
"receptors, fc","Receptor"
"receptors, formyl peptide","Amino Acid, Peptide, or Protein"
"receptors, formyl peptide","Receptor"
"receptors, g-protein-coupled","Amino Acid, Peptide, or Protein"
"receptors, g-protein-coupled","Receptor"
"receptors, gaba","Amino Acid, Peptide, or Protein"
"receptors, gaba","Receptor"
"receptors, gastrointestinal hormone","Amino Acid, Peptide, or Protein"
"receptors, gastrointestinal hormone","Receptor"
"receptors, glucagon","Amino Acid, Peptide, or Protein"
"receptors, glucagon","Receptor"
"receptors, glucocorticoid","Amino Acid, Peptide, or Protein"
"receptors, glucocorticoid","Receptor"
"receptors, granulocyte-macrophage colony-stimulating factor","Amino Acid, Peptide, or Protein"
"receptors, granulocyte-macrophage colony-stimulating factor","Immunologic Factor"
"receptors, granulocyte-macrophage colony-stimulating factor","Receptor"
"receptors, histamine","Amino Acid, Peptide, or Protein"
"receptors, histamine","Receptor"
"receptors, histamine h1","Amino Acid, Peptide, or Protein"
"receptors, histamine h1","Receptor"
"receptors, histamine h2","Amino Acid, Peptide, or Protein"
"receptors, histamine h2","Receptor"
"receptors, hiv","Amino Acid, Peptide, or Protein"
"receptors, hiv","Immunologic Factor"
"receptors, hiv","Receptor"
"receptors, ige","Amino Acid, Peptide, or Protein"
"receptors, ige","Immunologic Factor"
"receptors, ige","Receptor"
"receptors, igg","Amino Acid, Peptide, or Protein"
"receptors, igg","Immunologic Factor"
"receptors, igg","Receptor"
"receptors, immunologic","Amino Acid, Peptide, or Protein"
"receptors, immunologic","Immunologic Factor"
"receptors, immunologic","Receptor"
"receptors, interleukin","Amino Acid, Peptide, or Protein"
"receptors, interleukin","Immunologic Factor"
"receptors, interleukin","Receptor"
"receptors, interleukin-1","Amino Acid, Peptide, or Protein"
"receptors, interleukin-1","Immunologic Factor"
"receptors, interleukin-1","Receptor"
"receptors, interleukin-1 type ii","Amino Acid, Peptide, or Protein"
"receptors, interleukin-1 type ii","Immunologic Factor"
"receptors, interleukin-1 type ii","Receptor"
"receptors, interleukin-10","Amino Acid, Peptide, or Protein"
"receptors, interleukin-10","Receptor"
"receptors, interleukin-12","Amino Acid, Peptide, or Protein"
"receptors, interleukin-12","Receptor"
"receptors, interleukin-13","Amino Acid, Peptide, or Protein"
"receptors, interleukin-13","Receptor"
"receptors, interleukin-17","Amino Acid, Peptide, or Protein"
"receptors, interleukin-17","Receptor"
"receptors, interleukin-18","Amino Acid, Peptide, or Protein"
"receptors, interleukin-18","Receptor"
"receptors, interleukin-2","Amino Acid, Peptide, or Protein"
"receptors, interleukin-2","Immunologic Factor"
"receptors, interleukin-2","Receptor"
"receptors, interleukin-4","Amino Acid, Peptide, or Protein"
"receptors, interleukin-4","Immunologic Factor"
"receptors, interleukin-4","Receptor"
"receptors, interleukin-5","Amino Acid, Peptide, or Protein"
"receptors, interleukin-5","Receptor"
"receptors, interleukin-6","Amino Acid, Peptide, or Protein"
"receptors, interleukin-6","Immunologic Factor"
"receptors, interleukin-6","Receptor"
"receptors, interleukin-7","Amino Acid, Peptide, or Protein"
"receptors, interleukin-7","Immunologic Factor"
"receptors, interleukin-7","Receptor"
"receptors, interleukin-8b","Amino Acid, Peptide, or Protein"
"receptors, interleukin-8b","Immunologic Factor"
"receptors, interleukin-8b","Receptor"
"receptors, interleukin-9","Amino Acid, Peptide, or Protein"
"receptors, interleukin-9","Receptor"
"receptors, laminin","Amino Acid, Peptide, or Protein"
"receptors, laminin","Immunologic Factor"
"receptors, laminin","Receptor"
"receptors, ldl","Amino Acid, Peptide, or Protein"
"receptors, ldl","Receptor"
"receptors, leptin","Amino Acid, Peptide, or Protein"
"receptors, leptin","Receptor"
"receptors, leukocyte-adhesion","Amino Acid, Peptide, or Protein"
"receptors, leukocyte-adhesion","Immunologic Factor"
"receptors, leukocyte-adhesion","Receptor"
"receptors, leukotriene","Amino Acid, Peptide, or Protein"
"receptors, leukotriene","Receptor"
"receptors, leukotriene b4","Amino Acid, Peptide, or Protein"
"receptors, leukotriene b4","Receptor"
"receptors, lipoxin","Amino Acid, Peptide, or Protein"
"receptors, lipoxin","Receptor"
"receptors, lymphocyte homing","Amino Acid, Peptide, or Protein"
"receptors, lymphocyte homing","Immunologic Factor"
"receptors, lymphocyte homing","Receptor"
"receptors, mitogen","Amino Acid, Peptide, or Protein"
"receptors, mitogen","Immunologic Factor"
"receptors, mitogen","Receptor"
"receptors, muscarinic","Amino Acid, Peptide, or Protein"
"receptors, muscarinic","Receptor"
"receptors, nerve growth factor","Amino Acid, Peptide, or Protein"
"receptors, nerve growth factor","Receptor"
"receptors, neurokinin-1","Amino Acid, Peptide, or Protein"
"receptors, neurokinin-1","Receptor"
"receptors, neurokinin-2","Amino Acid, Peptide, or Protein"
"receptors, neurokinin-2","Receptor"
"receptors, neurotransmitter","Amino Acid, Peptide, or Protein"
"receptors, neurotransmitter","Receptor"
"receptors, nicotinic","Amino Acid, Peptide, or Protein"
"receptors, nicotinic","Receptor"
"receptors, opioid","Amino Acid, Peptide, or Protein"
"receptors, opioid","Receptor"
"receptors, opioid, kappa","Amino Acid, Peptide, or Protein"
"receptors, opioid, kappa","Receptor"
"receptors, opioid, mu","Amino Acid, Peptide, or Protein"
"receptors, opioid, mu","Receptor"
"receptors, ox40","Amino Acid, Peptide, or Protein"
"receptors, ox40","Receptor"
"receptors, oxytocin","Amino Acid, Peptide, or Protein"
"receptors, oxytocin","Receptor"
"receptors, pattern recognition","Amino Acid, Peptide, or Protein"
"receptors, pattern recognition","Immunologic Factor"
"receptors, pattern recognition","Receptor"
"receptors, platelet-derived growth factor","Amino Acid, Peptide, or Protein"
"receptors, platelet-derived growth factor","Enzyme"
"receptors, platelet-derived growth factor","Receptor"
"receptors, prostaglandin","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin","Receptor"
"receptors, prostaglandin e","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin e","Receptor"
"receptors, prostaglandin e, ep1 subtype","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin e, ep1 subtype","Receptor"
"receptors, prostaglandin e, ep2 subtype","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin e, ep2 subtype","Receptor"
"receptors, prostaglandin e, ep3 subtype","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin e, ep3 subtype","Receptor"
"receptors, prostaglandin e, ep4 subtype","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin e, ep4 subtype","Receptor"
"receptors, purinergic","Amino Acid, Peptide, or Protein"
"receptors, purinergic","Receptor"
"receptors, purinergic p1","Amino Acid, Peptide, or Protein"
"receptors, purinergic p1","Receptor"
"receptors, purinergic p2","Amino Acid, Peptide, or Protein"
"receptors, purinergic p2","Receptor"
"receptors, purinergic p2x7","Amino Acid, Peptide, or Protein"
"receptors, purinergic p2x7","Receptor"
"receptors, scavenger","Amino Acid, Peptide, or Protein"
"receptors, scavenger","Receptor"
"receptors, serotonin","Amino Acid, Peptide, or Protein"
"receptors, serotonin","Receptor"
"receptors, serotonin, 5-ht3","Amino Acid, Peptide, or Protein"
"receptors, serotonin, 5-ht3","Receptor"
"receptors, steroid","Amino Acid, Peptide, or Protein"
"receptors, steroid","Receptor"
"receptors, tachykinin","Amino Acid, Peptide, or Protein"
"receptors, tachykinin","Receptor"
"receptors, thrombin","Amino Acid, Peptide, or Protein"
"receptors, thrombin","Receptor"
"receptors, thromboxane","Amino Acid, Peptide, or Protein"
"receptors, thromboxane","Receptor"
"receptors, thromboxane a2, prostaglandin h2","Amino Acid, Peptide, or Protein"
"receptors, thromboxane a2, prostaglandin h2","Receptor"
"receptors, tnf-related apoptosis-inducing ligand","Amino Acid, Peptide, or Protein"
"receptors, tnf-related apoptosis-inducing ligand","Receptor"
"receptors, transferrin","Amino Acid, Peptide, or Protein"
"receptors, transferrin","Receptor"
"receptors, transforming growth factor beta","Amino Acid, Peptide, or Protein"
"receptors, transforming growth factor beta","Immunologic Factor"
"receptors, transforming growth factor beta","Receptor"
"receptors, tumor necrosis factor","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor","Receptor"
"receptors, tumor necrosis factor, member 10c","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor, member 10c","Receptor"
"receptors, tumor necrosis factor, type i","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor, type i","Receptor"
"receptors, tumor necrosis factor, type ii","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor, type ii","Receptor"
"receptors, urokinase plasminogen activator","Amino Acid, Peptide, or Protein"
"receptors, urokinase plasminogen activator","Immunologic Factor"
"receptors, urokinase plasminogen activator","Receptor"
"receptors, vasoactive intestinal peptide","Amino Acid, Peptide, or Protein"
"receptors, vasoactive intestinal peptide","Receptor"
"receptors, very late antigen","Amino Acid, Peptide, or Protein"
"receptors, very late antigen","Immunologic Factor"
"receptors, very late antigen","Receptor"
"receptors, virus","Amino Acid, Peptide, or Protein"
"receptors, virus","Receptor"
"recombinant fusion proteins","Amino Acid, Peptide, or Protein"
"recombinant proteins","Amino Acid, Peptide, or Protein"
"recombination, genetic","Genetic Function"
"reconstructive surgical procedures","Therapeutic or Preventive Procedure"
"records as topic","Intellectual Product"
"recovery of function","Sign or Symptom"
"recreation","Daily or Recreational Activity"
"rectal prolapse","Disease or Syndrome"
"rectus abdominis","Body Part, Organ, or Organ Component"
"recurrence","Phenomenon or Process"
"recycling","Human-caused Phenomenon or Process"
"reducing agents","Indicator, Reagent, or Diagnostic Aid"
"reference standards","Quantitative Concept"
"reference values","Quantitative Concept"
"referral and consultation","Health Care Activity"
"reflex","Organ or Tissue Function"
"reflex, abnormal","Sign or Symptom"
"reflex, stretch","Organ or Tissue Function"
"reflexotherapy","Therapeutic or Preventive Procedure"
"refractory period, electrophysiological","Organism Function"
"refrigeration","Machine Activity"
"refugees","Population Group"
"refuse disposal","Occupational Activity"
"regeneration","Organ or Tissue Function"
"regional blood flow","Organ or Tissue Function"
"regional health planning","Health Care Activity"
"registries","Intellectual Product"
"regression (psychology)","Mental Process"
"regression analysis","Intellectual Product"
"regulatory sequences, nucleic acid","Biologically Active Substance"
