"mesh","umls"
"pyrogens","Biologically Active Substance"
"pyrogens","Organic Chemical"
"pyroglyphidae","Eukaryote"
"pyrrolidines","Organic Chemical"
"pyrrolidinones","Organic Chemical"
"pyrrolidonecarboxylic acid","Amino Acid, Peptide, or Protein"
"pyrrolidonecarboxylic acid","Biologically Active Substance"
"pyrrolidonecarboxylic acid","Indicator, Reagent, or Diagnostic Aid"
"pyruvates","Organic Chemical"
"pyruvic acid","Biologically Active Substance"
"pyruvic acid","Organic Chemical"
"pyruvic acid","Pharmacologic Substance"
"q-sort","Diagnostic Procedure"
"qatar","Geographic Area"
"quadriplegia","Disease or Syndrome"
"qualitative research","Research Activity"
"quality assurance, health care","Qualitative Concept"
"quality control","Functional Concept"
"quality improvement","Occupational Activity"
"quality indicators, health care","Qualitative Concept"
"quality of health care","Health Care Activity"
"quality of life","Idea or Concept"
"quality-adjusted life years","Temporal Concept"
"quantitative trait loci","Gene or Genome"
"quantitative trait, heritable","Organism Attribute"
"quaternary ammonium compounds","Organic Chemical"
"quebec","Geographic Area"
"queensland","Geographic Area"
"quercetin","Organic Chemical"
"quercetin","Pharmacologic Substance"
"quercetin","Vitamin"
"quercus","Plant"
"quinazolines","Organic Chemical"
"quinolines","Organic Chemical"
"quinolones","Organic Chemical"
"rabbits","Mammal"
"racepinephrine","Organic Chemical"
"racepinephrine","Pharmacologic Substance"
"radiation dosage","Quantitative Concept"
"radiation genetics","Biomedical Occupation or Discipline"
"radiation injuries","Injury or Poisoning"
"radiation monitoring","Laboratory Procedure"
"radio frequency identification device","Manufactured Object"
"radioactive hazard release","Human-caused Phenomenon or Process"
"radioactive pollutants","Hazardous or Poisonous Substance"
"radioallergosorbent test","Laboratory Procedure"
"radiography","Functional Concept"
"radiography, bitewing","Diagnostic Procedure"
"radiography, thoracic","Diagnostic Procedure"
"radioimmunoassay","Laboratory Procedure"
"radioimmunoprecipitation assay","Laboratory Procedure"
"radioimmunosorbent test","Laboratory Procedure"
"radioisotopes","Element, Ion, or Isotope"
"radioligand assay","Laboratory Procedure"
"radiology","Biomedical Occupation or Discipline"
"radiometry","Laboratory Procedure"
"radionuclide angiography","Diagnostic Procedure"
"radionuclide imaging","Diagnostic Procedure"
"radiopharmaceuticals","Indicator, Reagent, or Diagnostic Aid"
"radiopharmaceuticals","Pharmacologic Substance"
"radiotherapy","Intellectual Product"
"radiotherapy, adjuvant","Therapeutic or Preventive Procedure"
"radium","Element, Ion, or Isotope"
"radium","Pharmacologic Substance"
"radius","Body Part, Organ, or Organ Component"
"radon","Element, Ion, or Isotope"
"radon","Hazardous or Poisonous Substance"
"rage","Mental Process"
"railroads","Manufactured Object"
"rain","Natural Phenomenon or Process"
"random allocation","Research Activity"
"randomized controlled trials as topic","Intellectual Product"
"randomized controlled trials as topic","Research Activity"
"range of motion, articular","Clinical Attribute"
"ranitidine","Organic Chemical"
"ranitidine","Pharmacologic Substance"
"rare diseases","Disease or Syndrome"
"rats","Mammal"
"rats, inbred f344","Mammal"
"rats, inbred lew","Mammal"
"rats, wistar","Mammal"
"rauwolfia","Plant"
"reaction time","Temporal Concept"
"reactive attachment disorder","Mental or Behavioral Dysfunction"
"reactive nitrogen species","Biologically Active Substance"
"reactive nitrogen species","Chemical Viewed Structurally"
"reactive oxygen species","Biologically Active Substance"
"reactive oxygen species","Element, Ion, or Isotope"
"reading","Daily or Recreational Activity"
"reagent kits, diagnostic","Indicator, Reagent, or Diagnostic Aid"
"reagent strips","Indicator, Reagent, or Diagnostic Aid"
"reagins","Amino Acid, Peptide, or Protein"
"reagins","Immunologic Factor"
"real-time polymerase chain reaction","Molecular Biology Research Technique"
"receptor protein-tyrosine kinases","Amino Acid, Peptide, or Protein"
"receptor protein-tyrosine kinases","Enzyme"
"receptor protein-tyrosine kinases","Receptor"
"receptor-interacting protein serine-threonine kinase 2","Amino Acid, Peptide, or Protein"
"receptor-interacting protein serine-threonine kinase 2","Enzyme"
"receptor-like protein tyrosine phosphatases, class 2","Amino Acid, Peptide, or Protein"
"receptor-like protein tyrosine phosphatases, class 2","Enzyme"
"receptor, anaphylatoxin c5a","Amino Acid, Peptide, or Protein"
"receptor, anaphylatoxin c5a","Immunologic Factor"
"receptor, anaphylatoxin c5a","Receptor"
"receptor, bradykinin b2","Amino Acid, Peptide, or Protein"
"receptor, bradykinin b2","Receptor"
"receptor, cannabinoid, cb1","Amino Acid, Peptide, or Protein"
"receptor, cannabinoid, cb1","Receptor"
"receptor, epidermal growth factor","Amino Acid, Peptide, or Protein"
"receptor, epidermal growth factor","Enzyme"
"receptor, epidermal growth factor","Receptor"
"receptor, igf type 1","Amino Acid, Peptide, or Protein"
"receptor, igf type 1","Enzyme"
"receptor, igf type 1","Receptor"
"receptor, muscarinic m1","Amino Acid, Peptide, or Protein"
"receptor, muscarinic m1","Receptor"
"receptor, muscarinic m2","Amino Acid, Peptide, or Protein"
"receptor, muscarinic m2","Receptor"
"receptor, muscarinic m3","Amino Acid, Peptide, or Protein"
"receptor, muscarinic m3","Receptor"
"receptor, trka","Amino Acid, Peptide, or Protein"
"receptor, trka","Enzyme"
"receptor, trka","Receptor"
"receptors, adrenergic","Amino Acid, Peptide, or Protein"
"receptors, adrenergic","Receptor"
"receptors, adrenergic, alpha","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, alpha","Receptor"
"receptors, adrenergic, beta","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, beta","Receptor"
"receptors, adrenergic, beta-2","Amino Acid, Peptide, or Protein"
"receptors, adrenergic, beta-2","Receptor"
"receptors, antigen, b-cell","Amino Acid, Peptide, or Protein"
"receptors, antigen, b-cell","Immunologic Factor"
"receptors, antigen, b-cell","Receptor"
"receptors, antigen, t-cell","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell","Immunologic Factor"
"receptors, antigen, t-cell","Receptor"
"receptors, antigen, t-cell, alpha-beta","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell, alpha-beta","Immunologic Factor"
"receptors, antigen, t-cell, alpha-beta","Receptor"
"receptors, antigen, t-cell, gamma-delta","Amino Acid, Peptide, or Protein"
"receptors, antigen, t-cell, gamma-delta","Immunologic Factor"
"receptors, antigen, t-cell, gamma-delta","Receptor"
"receptors, bradykinin","Amino Acid, Peptide, or Protein"
"receptors, bradykinin","Receptor"
"receptors, calcitriol","Amino Acid, Peptide, or Protein"
"receptors, calcitriol","Receptor"
"receptors, ccr10","Amino Acid, Peptide, or Protein"
"receptors, ccr10","Biologically Active Substance"
"receptors, ccr2","Amino Acid, Peptide, or Protein"
"receptors, ccr2","Receptor"
"receptors, ccr3","Amino Acid, Peptide, or Protein"
"receptors, ccr3","Receptor"
"receptors, ccr4","Amino Acid, Peptide, or Protein"
"receptors, ccr4","Receptor"
"receptors, ccr5","Amino Acid, Peptide, or Protein"
"receptors, ccr5","Immunologic Factor"
"receptors, ccr5","Receptor"
"receptors, ccr8","Amino Acid, Peptide, or Protein"
"receptors, ccr8","Receptor"
"receptors, cell surface","Amino Acid, Peptide, or Protein"
"receptors, cell surface","Receptor"
"receptors, chemokine","Amino Acid, Peptide, or Protein"
"receptors, chemokine","Immunologic Factor"
"receptors, chemokine","Receptor"
"receptors, complement","Amino Acid, Peptide, or Protein"
"receptors, complement","Immunologic Factor"
"receptors, complement","Receptor"
"receptors, complement 3b","Amino Acid, Peptide, or Protein"
"receptors, complement 3b","Immunologic Factor"
"receptors, complement 3b","Receptor"
"receptors, complement 3d","Amino Acid, Peptide, or Protein"
"receptors, complement 3d","Immunologic Factor"
"receptors, complement 3d","Receptor"
"receptors, concanavalin a","Amino Acid, Peptide, or Protein"
"receptors, concanavalin a","Receptor"
"receptors, corticotropin-releasing hormone","Amino Acid, Peptide, or Protein"
"receptors, corticotropin-releasing hormone","Receptor"
"receptors, cytokine","Amino Acid, Peptide, or Protein"
"receptors, cytokine","Immunologic Factor"
"receptors, cytokine","Receptor"
"receptors, cytoplasmic and nuclear","Amino Acid, Peptide, or Protein"
"receptors, cytoplasmic and nuclear","Receptor"
"receptors, drug","Amino Acid, Peptide, or Protein"
"receptors, drug","Receptor"
"receptors, fc","Amino Acid, Peptide, or Protein"
"receptors, fc","Immunologic Factor"
"receptors, fc","Receptor"
"receptors, g-protein-coupled","Amino Acid, Peptide, or Protein"
"receptors, g-protein-coupled","Receptor"
"receptors, glucocorticoid","Amino Acid, Peptide, or Protein"
"receptors, glucocorticoid","Receptor"
"receptors, glutamate","Amino Acid, Peptide, or Protein"
"receptors, glutamate","Receptor"
"receptors, granulocyte-macrophage colony-stimulating factor","Amino Acid, Peptide, or Protein"
"receptors, granulocyte-macrophage colony-stimulating factor","Immunologic Factor"
"receptors, granulocyte-macrophage colony-stimulating factor","Receptor"
"receptors, histamine","Amino Acid, Peptide, or Protein"
"receptors, histamine","Receptor"
"receptors, histamine h1","Amino Acid, Peptide, or Protein"
"receptors, histamine h1","Receptor"
"receptors, histamine h2","Amino Acid, Peptide, or Protein"
"receptors, histamine h2","Receptor"
"receptors, ige","Amino Acid, Peptide, or Protein"
"receptors, ige","Immunologic Factor"
"receptors, ige","Receptor"
"receptors, igg","Amino Acid, Peptide, or Protein"
"receptors, igg","Immunologic Factor"
"receptors, igg","Receptor"
"receptors, immunologic","Amino Acid, Peptide, or Protein"
"receptors, immunologic","Immunologic Factor"
"receptors, immunologic","Receptor"
"receptors, interleukin","Amino Acid, Peptide, or Protein"
"receptors, interleukin","Immunologic Factor"
"receptors, interleukin","Receptor"
"receptors, interleukin-1","Amino Acid, Peptide, or Protein"
"receptors, interleukin-1","Immunologic Factor"
"receptors, interleukin-1","Receptor"
"receptors, interleukin-10","Amino Acid, Peptide, or Protein"
"receptors, interleukin-10","Receptor"
"receptors, interleukin-12","Amino Acid, Peptide, or Protein"
"receptors, interleukin-12","Receptor"
"receptors, interleukin-13","Amino Acid, Peptide, or Protein"
"receptors, interleukin-13","Receptor"
"receptors, interleukin-17","Amino Acid, Peptide, or Protein"
"receptors, interleukin-17","Receptor"
"receptors, interleukin-2","Amino Acid, Peptide, or Protein"
"receptors, interleukin-2","Immunologic Factor"
"receptors, interleukin-2","Receptor"
"receptors, interleukin-21","Amino Acid, Peptide, or Protein"
"receptors, interleukin-21","Receptor"
"receptors, interleukin-4","Amino Acid, Peptide, or Protein"
"receptors, interleukin-4","Immunologic Factor"
"receptors, interleukin-4","Receptor"
"receptors, interleukin-5","Amino Acid, Peptide, or Protein"
"receptors, interleukin-5","Receptor"
"receptors, interleukin-6","Amino Acid, Peptide, or Protein"
"receptors, interleukin-6","Immunologic Factor"
"receptors, interleukin-6","Receptor"
"receptors, interleukin-9","Amino Acid, Peptide, or Protein"
"receptors, interleukin-9","Receptor"
"receptors, kir2dl4","Amino Acid, Peptide, or Protein"
"receptors, kir2dl4","Receptor"
"receptors, leptin","Amino Acid, Peptide, or Protein"
"receptors, leptin","Receptor"
"receptors, leukotriene","Amino Acid, Peptide, or Protein"
"receptors, leukotriene","Receptor"
"receptors, leukotriene b4","Amino Acid, Peptide, or Protein"
"receptors, leukotriene b4","Receptor"
"receptors, lymphocyte homing","Amino Acid, Peptide, or Protein"
"receptors, lymphocyte homing","Immunologic Factor"
"receptors, lymphocyte homing","Receptor"
"receptors, muscarinic","Amino Acid, Peptide, or Protein"
"receptors, muscarinic","Receptor"
"receptors, nerve growth factor","Amino Acid, Peptide, or Protein"
"receptors, nerve growth factor","Receptor"
"receptors, neurokinin-1","Amino Acid, Peptide, or Protein"
"receptors, neurokinin-1","Receptor"
"receptors, neurotransmitter","Amino Acid, Peptide, or Protein"
"receptors, neurotransmitter","Receptor"
"receptors, nicotinic","Amino Acid, Peptide, or Protein"
"receptors, nicotinic","Receptor"
"receptors, pattern recognition","Amino Acid, Peptide, or Protein"
"receptors, pattern recognition","Immunologic Factor"
"receptors, pattern recognition","Receptor"
"receptors, pituitary adenylate cyclase-activating polypeptide, type i","Amino Acid, Peptide, or Protein"
"receptors, pituitary adenylate cyclase-activating polypeptide, type i","Receptor"
"receptors, platelet-derived growth factor","Amino Acid, Peptide, or Protein"
"receptors, platelet-derived growth factor","Enzyme"
"receptors, platelet-derived growth factor","Receptor"
"receptors, prostaglandin","Amino Acid, Peptide, or Protein"
"receptors, prostaglandin","Receptor"
"receptors, purinergic","Amino Acid, Peptide, or Protein"
"receptors, purinergic","Receptor"
"receptors, purinergic p2x7","Amino Acid, Peptide, or Protein"
"receptors, purinergic p2x7","Receptor"
"receptors, purinergic p2y12","Amino Acid, Peptide, or Protein"
"receptors, purinergic p2y12","Receptor"
"receptors, somatotropin","Amino Acid, Peptide, or Protein"
"receptors, somatotropin","Receptor"
"receptors, steroid","Amino Acid, Peptide, or Protein"
"receptors, steroid","Receptor"
"receptors, thromboxane","Amino Acid, Peptide, or Protein"
"receptors, thromboxane","Receptor"
"receptors, thromboxane a2, prostaglandin h2","Amino Acid, Peptide, or Protein"
"receptors, thromboxane a2, prostaglandin h2","Receptor"
"receptors, transforming growth factor beta","Amino Acid, Peptide, or Protein"
"receptors, transforming growth factor beta","Immunologic Factor"
"receptors, transforming growth factor beta","Receptor"
"receptors, tumor necrosis factor","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor","Receptor"
"receptors, tumor necrosis factor, type ii","Amino Acid, Peptide, or Protein"
"receptors, tumor necrosis factor, type ii","Receptor"
"receptors, urokinase plasminogen activator","Amino Acid, Peptide, or Protein"
"receptors, urokinase plasminogen activator","Immunologic Factor"
"receptors, urokinase plasminogen activator","Receptor"
"receptors, vascular endothelial growth factor","Amino Acid, Peptide, or Protein"
"receptors, vascular endothelial growth factor","Enzyme"
"receptors, vascular endothelial growth factor","Receptor"
"receptors, very late antigen","Amino Acid, Peptide, or Protein"
"receptors, very late antigen","Immunologic Factor"
"receptors, very late antigen","Receptor"
"receptors, virus","Amino Acid, Peptide, or Protein"
"receptors, virus","Receptor"
"recognition (psychology)","Mental Process"
"recombinant fusion proteins","Amino Acid, Peptide, or Protein"
"recombinant proteins","Amino Acid, Peptide, or Protein"
"recombination, genetic","Genetic Function"
"records as topic","Intellectual Product"
"recovery of function","Sign or Symptom"
"recreation","Daily or Recreational Activity"
"rectum","Body Part, Organ, or Organ Component"
"recurrence","Phenomenon or Process"
"reference standards","Quantitative Concept"
"reference values","Quantitative Concept"
"referral and consultation","Health Care Activity"
"reflex","Organ or Tissue Function"
"reflex, abnormal","Sign or Symptom"
"reflexotherapy","Therapeutic or Preventive Procedure"
"refugees","Population Group"
"refusal to participate","Individual Behavior"
"refuse disposal","Occupational Activity"
"regional blood flow","Organ or Tissue Function"
"regional health planning","Health Care Activity"
"regional medical programs","Governmental or Regulatory Activity"
"registries","Intellectual Product"
"regression (psychology)","Mental Process"
"regression analysis","Intellectual Product"
"regulatory sequences, nucleic acid","Biologically Active Substance"
"regulatory sequences, nucleic acid","Nucleic Acid, Nucleoside, or Nucleotide"
"rehabilitation","Finding"
"rehabilitation centers","Health Care Related Organization"
"rehabilitation centers","Manufactured Object"
"rehabilitation, vocational","Therapeutic or Preventive Procedure"
"rehydration solutions","Pharmacologic Substance"
"reimbursement mechanisms","Intellectual Product"
"reimbursement, incentive","Intellectual Product"
"reinforcement (psychology)","Mental Process"
"reishi","Plant"
"rejection (psychology)","Social Behavior"
"relaxation","Activity"
"relaxation therapy","Therapeutic or Preventive Procedure"
"relaxin","Amino Acid, Peptide, or Protein"
"relaxin","Hormone"
"relaxin","Pharmacologic Substance"
"religion","Idea or Concept"
"religion and medicine","Idea or Concept"
"religion and psychology","Idea or Concept"
"reminder systems","Intellectual Product"
"reminder systems","Manufactured Object"
"remission induction","Therapeutic or Preventive Procedure"
"remission, spontaneous","Natural Phenomenon or Process"
"remote consultation","Diagnostic Procedure"
"remote sensing technology","Machine Activity"
"remuneration","Quantitative Concept"
"renal aminoacidurias","Disease or Syndrome"
"renal dialysis","Therapeutic or Preventive Procedure"
"renal insufficiency","Disease or Syndrome"
"renin","Amino Acid, Peptide, or Protein"
"renin","Enzyme"
"renin-angiotensin system","Body System"
"reoperation","Therapeutic or Preventive Procedure"
"repression, psychology","Mental Process"
"repressor proteins","Amino Acid, Peptide, or Protein"
"repressor proteins","Biologically Active Substance"
"reproducibility of results","Quantitative Concept"
"reproductive health services","Health Care Activity"
"reproductive history","Finding"
"reproductive techniques, assisted","Therapeutic or Preventive Procedure"
"republic of belarus","Geographic Area"
"republic of korea","Geographic Area"
"research","Research Activity"
"research design","Research Activity"
"research personnel","Professional or Occupational Group"
"research report","Intellectual Product"
"research subjects","Population Group"
"research support as topic","Quantitative Concept"
"reserpine","Organic Chemical"
"reserpine","Pharmacologic Substance"
"residence characteristics","Quantitative Concept"
"residential facilities","Health Care Related Organization"
"residential facilities","Manufactured Object"
"residential treatment","Therapeutic or Preventive Procedure"
"residual volume","Clinical Attribute"
"resilience, psychological","Individual Behavior"
"resins, synthetic","Biomedical or Dental Material"
"resistin","Amino Acid, Peptide, or Protein"
"resistin","Hormone"
"resorcinols","Organic Chemical"
"resorcinols","Pharmacologic Substance"
"resource allocation","Quantitative Concept"
"respiration","Physiologic Function"
"respiration disorders","Disease or Syndrome"
"respiration, artificial","Therapeutic or Preventive Procedure"
"respiratory aspiration","Organism Function"
"respiratory burst","Cell Function"
"respiratory care units","Health Care Related Organization"
"respiratory care units","Manufactured Object"
"respiratory dead space","Organ or Tissue Function"
"respiratory distress syndrome, adult","Disease or Syndrome"
"respiratory distress syndrome, newborn","Disease or Syndrome"
"respiratory function tests","Diagnostic Procedure"
"respiratory hypersensitivity","Pathologic Function"
"respiratory insufficiency","Pathologic Function"
"respiratory mechanics","Organ or Tissue Function"
"respiratory mucosa","Tissue"
"respiratory muscles","Body Part, Organ, or Organ Component"
"respiratory paralysis","Finding"
"respiratory physiological phenomena","Physiologic Function"
"respiratory protective devices","Manufactured Object"
"respiratory rate","Clinical Attribute"
"respiratory sounds","Clinical Attribute"
"respiratory syncytial virus infections","Disease or Syndrome"
"respiratory syncytial virus vaccines","Immunologic Factor"
"respiratory syncytial virus vaccines","Pharmacologic Substance"
"respiratory syncytial virus, human","Virus"
"respiratory syncytial viruses","Virus"
"respiratory system","Body System"
"respiratory system abnormalities","Congenital Abnormality"
"respiratory system agents","Pharmacologic Substance"
"respiratory therapy","Therapeutic or Preventive Procedure"
"respiratory therapy department, hospital","Health Care Related Organization"
"respiratory tract diseases","Disease or Syndrome"
"respiratory tract infections","Disease or Syndrome"
"respiratory tract neoplasms","Neoplastic Process"
"respirovirus","Virus"
"respirovirus infections","Disease or Syndrome"
"rest","Daily or Recreational Activity"
"restaurants","Manufactured Object"
"resting phase, cell cycle","Genetic Function"
"resuscitation","Therapeutic or Preventive Procedure"
"retention (psychology)","Mental Process"
"reticulin","Amino Acid, Peptide, or Protein"
"reticulin","Biologically Active Substance"
"retinal degeneration","Pathologic Function"
"retinal detachment","Disease or Syndrome"
"retinal dysplasia","Congenital Abnormality"
"retinal hemorrhage","Pathologic Function"
"retinol-binding proteins","Amino Acid, Peptide, or Protein"
"retinol-binding proteins, cellular","Amino Acid, Peptide, or Protein"
"retinol-binding proteins, cellular","Biologically Active Substance"
"retinol-binding proteins, plasma","Amino Acid, Peptide, or Protein"
"retreatment","Therapeutic or Preventive Procedure"
"retropharyngeal abscess","Disease or Syndrome"
"retrospective studies","Research Activity"
"reunion","Geographic Area"
"reverse transcriptase polymerase chain reaction","Molecular Biology Research Technique"
"review literature as topic","Intellectual Product"
"reward","Mental Process"
"reye syndrome","Disease or Syndrome"
"rgs proteins","Amino Acid, Peptide, or Protein"
"rgs proteins","Biologically Active Substance"
"rh-hr blood-group system","Body System"
"rhabdomyolysis","Pathologic Function"
"rhabdomyosarcoma","Neoplastic Process"
"rheology","Occupational Activity"
"rheumatic diseases","Disease or Syndrome"
"rheumatic fever","Disease or Syndrome"
"rheumatic heart disease","Disease or Syndrome"
"rhinitis","Disease or Syndrome"
"rhinitis, allergic","Disease or Syndrome"
"rhinitis, allergic, perennial","Disease or Syndrome"
"rhinitis, allergic, seasonal","Disease or Syndrome"
"rhinitis, vasomotor","Disease or Syndrome"
"rhinomanometry","Diagnostic Procedure"
"rhinometry, acoustic","Diagnostic Procedure"
"rhinoplasty","Therapeutic or Preventive Procedure"
"rhinoscleroma","Disease or Syndrome"
"rhinovirus","Virus"
"rhode island","Geographic Area"
"ribavirin","Nucleic Acid, Nucleoside, or Nucleotide"
"ribavirin","Pharmacologic Substance"
"riboflavin","Organic Chemical"
"riboflavin","Pharmacologic Substance"
"riboflavin","Vitamin"
"ribonuclease, pancreatic","Amino Acid, Peptide, or Protein"
"ribonuclease, pancreatic","Enzyme"
"ribonucleases","Amino Acid, Peptide, or Protein"
"ribonucleases","Enzyme"
"ribosomes","Cell Component"
"ribs","Body Part, Organ, or Organ Component"
"rickets","Disease or Syndrome"
"rifampin","Antibiotic"
"rifampin","Organic Chemical"
"risk","Idea or Concept"
"risk adjustment","Quantitative Concept"
"risk assessment","Health Care Activity"
"risk factors","Finding"
"risk management","Health Care Activity"
"risk reduction behavior","Individual Behavior"
"risk-taking","Individual Behavior"
"ritonavir","Organic Chemical"
"ritonavir","Pharmacologic Substance"
"rna","Nucleic Acid, Nucleoside, or Nucleotide"
"rna splicing","Genetic Function"
"rna stability","Qualitative Concept"
"rna virus infections","Disease or Syndrome"
"rna viruses","Virus"
"rna-binding proteins","Amino Acid, Peptide, or Protein"
"rna-binding proteins","Biologically Active Substance"
"rna, bacterial","Nucleic Acid, Nucleoside, or Nucleotide"
"rna, double-stranded","Biologically Active Substance"
"rna, double-stranded","Nucleic Acid, Nucleoside, or Nucleotide"
"rna, messenger","Biologically Active Substance"
"rna, messenger","Nucleic Acid, Nucleoside, or Nucleotide"
"rna, ribosomal, 16s","Biologically Active Substance"
"rna, ribosomal, 16s","Nucleic Acid, Nucleoside, or Nucleotide"
"rna, untranslated","Nucleic Acid, Nucleoside, or Nucleotide"
"rna, viral","Nucleic Acid, Nucleoside, or Nucleotide"
"robotics","Occupation or Discipline"
"roc curve","Quantitative Concept"
"rodentia","Mammal"
"role","Social Behavior"
"role playing","Therapeutic or Preventive Procedure"
"roma","Population Group"
"romania","Geographic Area"
"rome","Geographic Area"
"root resorption","Disease or Syndrome"
"rorschach test","Diagnostic Procedure"
"rosaceae","Plant"
"rosales","Plant"
"rosette formation","Finding"
"rotator cuff injuries","Injury or Poisoning"
"rotavirus","Virus"
"rotavirus infections","Disease or Syndrome"
"rothmund-thomson syndrome","Disease or Syndrome"
"roxithromycin","Antibiotic"
"roxithromycin","Organic Chemical"
"rubella","Disease or Syndrome"
"rubella vaccine","Amino Acid, Peptide, or Protein"
"rubella vaccine","Immunologic Factor"
"rubella vaccine","Pharmacologic Substance"
"rubella virus","Virus"
"rubinstein-taybi syndrome","Disease or Syndrome"
"rubulavirus infections","Disease or Syndrome"
"running","Daily or Recreational Activity"
"rupture","Phenomenon or Process"
"rupture, spontaneous","Pathologic Function"
"rural health","Idea or Concept"
"rural health services","Health Care Activity"
"rural population","Population Group"
"russia","Geographic Area"
"ryanodine receptor calcium release channel","Amino Acid, Peptide, or Protein"
"ryanodine receptor calcium release channel","Receptor"
"s-nitrosothiols","Biologically Active Substance"
"s-nitrosothiols","Organic Chemical"
"s-nitrosothiols","Pharmacologic Substance"
"saccharin","Organic Chemical"
"saccharin","Pharmacologic Substance"
"saccharomyces cerevisiae","Fungus"
"saccharum","Plant"
"safety","Human-caused Phenomenon or Process"
"safety management","Occupational Activity"
"salaries and fringe benefits","Quantitative Concept"
"salicylates","Organic Chemical"
"salicylates","Pharmacologic Substance"
"saline solution, hypertonic","Inorganic Chemical"
"saline solution, hypertonic","Pharmacologic Substance"
"saliva","Body Substance"
"salivary glands","Body Part, Organ, or Organ Component"
"salivary proteins and peptides","Amino Acid, Peptide, or Protein"
"salivary proteins and peptides","Biologically Active Substance"
"salivation","Organ or Tissue Function"
"salmeterol xinafoate","Organic Chemical"
"salmeterol xinafoate","Pharmacologic Substance"
"salmonella infections","Disease or Syndrome"
"salts","Chemical Viewed Structurally"
"sample size","Quantitative Concept"
"sampling studies","Intellectual Product"
"sampling studies","Research Activity"
"san francisco","Geographic Area"
"sanicula","Plant"
"sanitation","Occupation or Discipline"
"sarcina","Bacterium"
"sarcoidosis","Disease or Syndrome"
"sarcoma","Neoplastic Process"
"sarcoma, ewing","Neoplastic Process"
"sarcoma, myeloid","Neoplastic Process"
"saskatchewan","Geographic Area"
"saudi arabia","Geographic Area"
"scabies","Disease or Syndrome"
"scalp","Body Part, Organ, or Organ Component"
"scandinavian and nordic countries","Geographic Area"
"scarlet fever","Disease or Syndrome"
"schistosoma haematobium","Eukaryote"
"schistosomiasis","Disease or Syndrome"
"schistosomiasis mansoni","Disease or Syndrome"
"schizophrenia","Mental or Behavioral Dysfunction"
"schizophrenia, childhood","Mental or Behavioral Dysfunction"
"schizophrenia, paranoid","Mental or Behavioral Dysfunction"
"school health services","Health Care Activity"
"school nursing","Biomedical Occupation or Discipline"
"schools","Manufactured Object"
"schools","Organization"
"schools, medical","Health Care Related Organization"
"schools, medical","Manufactured Object"
"schools, nursery","Organization"
"science","Occupation or Discipline"
"scimitar syndrome","Congenital Abnormality"
"scintillation counting","Laboratory Procedure"
"scleroderma, localized","Disease or Syndrome"
"scleroderma, systemic","Disease or Syndrome"
"scoliosis","Anatomical Abnormality"
"scopolamine derivatives","Organic Chemical"
"scotland","Geographic Area"
"seafood","Food"
"seasons","Temporal Concept"
"seawater","Substance"
"secale","Plant"
"secobarbital","Organic Chemical"
"secobarbital","Pharmacologic Substance"
"second messenger systems","Molecular Function"
"secondary care","Health Care Activity"
"secondary prevention","Therapeutic or Preventive Procedure"
"secretin","Amino Acid, Peptide, or Protein"
"secretin","Hormone"
"secretin","Pharmacologic Substance"
"secretoglobins","Amino Acid, Peptide, or Protein"
"secretoglobins","Biologically Active Substance"
"secretory rate","Quantitative Concept"
"sedentary lifestyle","Finding"
"seeds","Plant"
"seizures","Sign or Symptom"
"seizures, febrile","Disease or Syndrome"
"selection bias","Quantitative Concept"
"selection, genetic","Genetic Function"
"selenium","Biologically Active Substance"
"selenium","Element, Ion, or Isotope"
"selenium","Pharmacologic Substance"
"selenoproteins","Amino Acid, Peptide, or Protein"
"selenoproteins","Biologically Active Substance"
"self administration","Therapeutic or Preventive Procedure"
"self care","Daily or Recreational Activity"
"self concept","Mental Process"
"self disclosure","Individual Behavior"
"self efficacy","Mental Process"
"self medication","Individual Behavior"
"self mutilation","Injury or Poisoning"
"self report","Research Activity"
"self-assessment","Mental Process"
"self-examination","Diagnostic Procedure"
"self-help groups","Self-help or Relief Organization"
"self-injurious behavior","Individual Behavior"
"semantic differential","Diagnostic Procedure"
"semantic differential","Intellectual Product"
"semantics","Idea or Concept"
"sendai virus","Virus"
"senegal","Geographic Area"
"sensation","Organ or Tissue Function"
"sensation disorders","Disease or Syndrome"
"sensitivity and specificity","Quantitative Concept"
"sensory receptor cells","Cell Component"
"sensory thresholds","Quantitative Concept"
"sentinel surveillance","Quantitative Concept"
"sepharose","Organic Chemical"
"sepsis","Disease or Syndrome"
"september 11 terrorist attacks","Activity"
"sequence alignment","Molecular Biology Research Technique"
"sequence analysis, dna","Laboratory Procedure"
"sequence analysis, dna","Molecular Biology Research Technique"
"sequence analysis, protein","Laboratory Procedure"
"sequence analysis, protein","Molecular Biology Research Technique"
"sequence analysis, rna","Laboratory Procedure"
"sequence analysis, rna","Molecular Biology Research Technique"
"sequence deletion","Cell or Molecular Dysfunction"
"sequence homology, amino acid","Quantitative Concept"
"sequence homology, nucleic acid","Quantitative Concept"
"serbia","Geographic Area"
"serine","Amino Acid, Peptide, or Protein"
"serine","Biologically Active Substance"
"serine","Pharmacologic Substance"
